target_species	prestwick_ID	human_use	n_hit	hit
human	Prestw-1253	TRUE	0	FALSE
human	Prestw-1254	TRUE	1	TRUE
human	Prestw-1256	TRUE	0	FALSE
human	Prestw-1257	TRUE	0	FALSE
human	Prestw-1258	TRUE	0	FALSE
human	Prestw-1259	TRUE	0	FALSE
human	Prestw-1262	TRUE	1	TRUE
human	Prestw-1266	TRUE	2	TRUE
human	Prestw-1267	TRUE	0	FALSE
human	Prestw-1268	TRUE	0	FALSE
human	Prestw-1270	TRUE	8	TRUE
human	Prestw-1271	TRUE	0	FALSE
human	Prestw-1274	TRUE	0	FALSE
human	Prestw-128	TRUE	0	FALSE
human	Prestw-1280	TRUE	0	FALSE
human	Prestw-1283	TRUE	0	FALSE
human	Prestw-1285	TRUE	0	FALSE
human	Prestw-1286	TRUE	0	FALSE
human	Prestw-1288	TRUE	3	TRUE
human	Prestw-129	TRUE	0	FALSE
human	Prestw-1290	TRUE	0	FALSE
human	Prestw-1294	TRUE	0	FALSE
human	Prestw-1295	TRUE	0	FALSE
human	Prestw-1297	TRUE	6	TRUE
human	Prestw-13	TRUE	0	FALSE
human	Prestw-130	TRUE	0	FALSE
human	Prestw-1307	TRUE	0	FALSE
human	Prestw-1308	TRUE	0	FALSE
human	Prestw-131	TRUE	0	FALSE
human	Prestw-1310	TRUE	0	FALSE
human	Prestw-1314	TRUE	2	TRUE
human	Prestw-1316	TRUE	0	FALSE
human	Prestw-1317	TRUE	1	TRUE
human	Prestw-1318	TRUE	0	FALSE
human	Prestw-1319	TRUE	0	FALSE
human	Prestw-132	TRUE	7	TRUE
human	Prestw-1322	TRUE	0	FALSE
human	Prestw-1323	TRUE	1	TRUE
human	Prestw-1328	TRUE	0	FALSE
human	Prestw-133	TRUE	0	FALSE
human	Prestw-1334	TRUE	0	FALSE
human	Prestw-1336	TRUE	0	FALSE
human	Prestw-1337	TRUE	0	FALSE
human	Prestw-134	TRUE	0	FALSE
human	Prestw-1341	TRUE	9	TRUE
human	Prestw-1342	TRUE	0	FALSE
human	Prestw-1346	TRUE	1	TRUE
human	Prestw-135	TRUE	12	TRUE
human	Prestw-1350	TRUE	4	TRUE
human	Prestw-1352	TRUE	0	FALSE
human	Prestw-1356	TRUE	4	TRUE
human	Prestw-1358	TRUE	0	FALSE
human	Prestw-1359	TRUE	4	TRUE
human	Prestw-136	TRUE	10	TRUE
human	Prestw-1361	TRUE	0	FALSE
human	Prestw-1362	TRUE	0	FALSE
human	Prestw-1363	TRUE	0	FALSE
human	Prestw-1364	TRUE	17	TRUE
human	Prestw-1365	TRUE	1	TRUE
human	Prestw-1367	TRUE	0	FALSE
human	Prestw-1368	TRUE	7	TRUE
human	Prestw-1369	TRUE	0	FALSE
human	Prestw-1371	TRUE	0	FALSE
human	Prestw-1374	TRUE	0	FALSE
human	Prestw-1376	TRUE	5	TRUE
human	Prestw-138	TRUE	19	TRUE
human	Prestw-1380	TRUE	0	FALSE
human	Prestw-1381	TRUE	0	FALSE
human	Prestw-1383	TRUE	0	FALSE
human	Prestw-1390	TRUE	0	FALSE
human	Prestw-1392	TRUE	0	FALSE
human	Prestw-1393	TRUE	0	FALSE
human	Prestw-1398	TRUE	0	FALSE
human	Prestw-1403	TRUE	10	TRUE
human	Prestw-1405	TRUE	0	FALSE
human	Prestw-1407	TRUE	2	TRUE
human	Prestw-1408	TRUE	0	FALSE
human	Prestw-1409	TRUE	1	TRUE
human	Prestw-141	TRUE	0	FALSE
human	Prestw-1410	TRUE	0	FALSE
human	Prestw-1415	TRUE	20	TRUE
human	Prestw-1419	TRUE	0	FALSE
human	Prestw-142	TRUE	0	FALSE
human	Prestw-1420	TRUE	0	FALSE
human	Prestw-1421	TRUE	0	FALSE
human	Prestw-1423	TRUE	0	FALSE
human	Prestw-1424	TRUE	0	FALSE
human	Prestw-1427	TRUE	0	FALSE
human	Prestw-1430	TRUE	0	FALSE
human	Prestw-1432	TRUE	15	TRUE
human	Prestw-1433	TRUE	0	FALSE
human	Prestw-144	TRUE	2	TRUE
human	Prestw-1441	TRUE	0	FALSE
human	Prestw-1443	TRUE	0	FALSE
human	Prestw-1444	TRUE	2	TRUE
human	Prestw-1449	TRUE	0	FALSE
human	Prestw-1452	TRUE	1	TRUE
human	Prestw-1454	TRUE	0	FALSE
human	Prestw-1455	TRUE	0	FALSE
human	Prestw-1456	TRUE	0	FALSE
human	Prestw-146	TRUE	16	TRUE
human	Prestw-1463	TRUE	0	FALSE
human	Prestw-1465	TRUE	0	FALSE
human	Prestw-1467	TRUE	13	TRUE
human	Prestw-1469	TRUE	4	TRUE
human	Prestw-147	TRUE	0	FALSE
human	Prestw-1471	TRUE	0	FALSE
human	Prestw-1473	TRUE	11	TRUE
human	Prestw-1476	TRUE	0	FALSE
human	Prestw-1477	TRUE	0	FALSE
human	Prestw-148	TRUE	0	FALSE
human	Prestw-1480	TRUE	2	TRUE
human	Prestw-1481	TRUE	0	FALSE
human	Prestw-1482	TRUE	0	FALSE
human	Prestw-1483	TRUE	1	TRUE
human	Prestw-1484	TRUE	3	TRUE
human	Prestw-1486	TRUE	0	FALSE
human	Prestw-1487	TRUE	0	FALSE
human	Prestw-1489	TRUE	0	FALSE
human	Prestw-149	TRUE	0	FALSE
human	Prestw-1490	TRUE	0	FALSE
human	Prestw-1491	TRUE	0	FALSE
human	Prestw-1492	TRUE	0	FALSE
human	Prestw-1493	TRUE	0	FALSE
human	Prestw-1494	TRUE	0	FALSE
human	Prestw-1495	TRUE	6	TRUE
human	Prestw-1497	TRUE	0	FALSE
human	Prestw-1498	TRUE	0	FALSE
human	Prestw-1499	TRUE	0	FALSE
human	Prestw-15	TRUE	0	FALSE
human	Prestw-150	TRUE	0	FALSE
human	Prestw-1501	TRUE	0	FALSE
human	Prestw-1502	TRUE	0	FALSE
human	Prestw-1503	TRUE	0	FALSE
human	Prestw-1506	TRUE	0	FALSE
human	Prestw-1507	TRUE	0	FALSE
human	Prestw-1508	TRUE	1	TRUE
human	Prestw-1509	TRUE	0	FALSE
human	Prestw-1510	TRUE	0	FALSE
human	Prestw-1511	TRUE	0	FALSE
human	Prestw-1514	TRUE	1	TRUE
human	Prestw-1515	TRUE	1	TRUE
human	Prestw-1516	TRUE	0	FALSE
human	Prestw-155	TRUE	1	TRUE
human	Prestw-157	TRUE	0	FALSE
human	Prestw-1600	TRUE	10	TRUE
human	Prestw-1601	TRUE	10	TRUE
human	Prestw-1603	TRUE	2	TRUE
human	Prestw-162	TRUE	0	FALSE
human	Prestw-163	TRUE	0	FALSE
human	Prestw-165	TRUE	0	FALSE
human	Prestw-167	TRUE	2	TRUE
human	Prestw-169	TRUE	0	FALSE
human	Prestw-17	TRUE	0	FALSE
human	Prestw-170	TRUE	0	FALSE
human	Prestw-171	TRUE	0	FALSE
human	Prestw-172	TRUE	0	FALSE
human	Prestw-173	TRUE	0	FALSE
human	Prestw-174	TRUE	1	TRUE
human	Prestw-175	TRUE	0	FALSE
human	Prestw-176	TRUE	0	FALSE
human	Prestw-178	TRUE	0	FALSE
human	Prestw-179	TRUE	0	FALSE
human	Prestw-180	TRUE	0	FALSE
human	Prestw-183	TRUE	0	FALSE
human	Prestw-184	TRUE	0	FALSE
human	Prestw-187	TRUE	0	FALSE
human	Prestw-188	TRUE	0	FALSE
human	Prestw-19	TRUE	0	FALSE
human	Prestw-190	TRUE	0	FALSE
human	Prestw-191	TRUE	0	FALSE
human	Prestw-192	TRUE	0	FALSE
human	Prestw-194	TRUE	1	TRUE
human	Prestw-196	TRUE	0	FALSE
human	Prestw-197	TRUE	0	FALSE
human	Prestw-198	TRUE	0	FALSE
human	Prestw-199	TRUE	1	TRUE
human	Prestw-20	TRUE	0	FALSE
human	Prestw-201	TRUE	0	FALSE
human	Prestw-202	TRUE	14	TRUE
human	Prestw-203	TRUE	4	TRUE
human	Prestw-205	TRUE	10	TRUE
human	Prestw-206	TRUE	5	TRUE
human	Prestw-209	TRUE	0	FALSE
human	Prestw-211	TRUE	0	FALSE
human	Prestw-213	TRUE	0	FALSE
human	Prestw-214	TRUE	0	FALSE
human	Prestw-215	TRUE	0	FALSE
human	Prestw-216	TRUE	0	FALSE
human	Prestw-218	TRUE	1	TRUE
human	Prestw-219	TRUE	0	FALSE
human	Prestw-22	TRUE	0	FALSE
human	Prestw-220	TRUE	0	FALSE
human	Prestw-223	TRUE	0	FALSE
human	Prestw-224	TRUE	0	FALSE
human	Prestw-225	TRUE	0	FALSE
human	Prestw-227	TRUE	15	TRUE
human	Prestw-228	TRUE	0	FALSE
human	Prestw-229	TRUE	0	FALSE
human	Prestw-230	TRUE	0	FALSE
human	Prestw-231	TRUE	0	FALSE
human	Prestw-232	TRUE	0	FALSE
human	Prestw-233	TRUE	0	FALSE
human	Prestw-236	TRUE	0	FALSE
human	Prestw-239	TRUE	0	FALSE
human	Prestw-24	TRUE	0	FALSE
human	Prestw-240	TRUE	0	FALSE
human	Prestw-241	TRUE	0	FALSE
human	Prestw-242	TRUE	0	FALSE
human	Prestw-243	TRUE	1	TRUE
human	Prestw-244	TRUE	0	FALSE
human	Prestw-245	TRUE	0	FALSE
human	Prestw-246	TRUE	0	FALSE
human	Prestw-248	TRUE	0	FALSE
human	Prestw-249	TRUE	0	FALSE
human	Prestw-250	TRUE	0	FALSE
human	Prestw-251	TRUE	0	FALSE
human	Prestw-252	TRUE	0	FALSE
human	Prestw-253	TRUE	0	FALSE
human	Prestw-254	TRUE	0	FALSE
human	Prestw-255	TRUE	0	FALSE
human	Prestw-256	TRUE	0	FALSE
human	Prestw-257	TRUE	0	FALSE
human	Prestw-258	TRUE	0	FALSE
human	Prestw-259	TRUE	6	TRUE
human	Prestw-26	TRUE	0	FALSE
human	Prestw-261	TRUE	0	FALSE
human	Prestw-262	TRUE	0	FALSE
human	Prestw-263	TRUE	0	FALSE
human	Prestw-264	TRUE	0	FALSE
human	Prestw-265	TRUE	0	FALSE
human	Prestw-266	TRUE	0	FALSE
human	Prestw-268	TRUE	0	FALSE
human	Prestw-269	TRUE	1	TRUE
human	Prestw-27	TRUE	0	FALSE
human	Prestw-270	TRUE	8	TRUE
human	Prestw-271	TRUE	0	FALSE
human	Prestw-272	TRUE	0	FALSE
human	Prestw-273	TRUE	0	FALSE
human	Prestw-274	TRUE	0	FALSE
human	Prestw-275	TRUE	0	FALSE
human	Prestw-276	TRUE	0	FALSE
human	Prestw-277	TRUE	0	FALSE
human	Prestw-278	TRUE	3	TRUE
human	Prestw-279	TRUE	0	FALSE
human	Prestw-281	TRUE	0	FALSE
human	Prestw-282	TRUE	0	FALSE
human	Prestw-283	TRUE	0	FALSE
human	Prestw-285	TRUE	0	FALSE
human	Prestw-286	TRUE	12	TRUE
human	Prestw-287	TRUE	0	FALSE
human	Prestw-288	TRUE	1	TRUE
human	Prestw-289	TRUE	0	FALSE
human	Prestw-29	TRUE	0	FALSE
human	Prestw-290	TRUE	0	FALSE
human	Prestw-291	TRUE	1	TRUE
human	Prestw-292	TRUE	1	TRUE
human	Prestw-293	TRUE	1	TRUE
human	Prestw-294	TRUE	6	TRUE
