Strain	Replicate	ABX	ABXConc	DrugX	DrugXConc	normAUC	Exp
community	1	Erythromycin	0.65	Benzbromarone	640	0.0105236765399374	PM
community	1	Erythromycin	0.15	Benzbromarone	0	0.669133473710756	PM
community	1	Erythromycin	0.15	Benzbromarone	10	0.742577248085792	PM
community	1	Erythromycin	0.15	Benzbromarone	20	0.57359657603434	PM
community	1	Erythromycin	0.15	Benzbromarone	40	0.372899317736772	PM
community	1	Erythromycin	0.15	Benzbromarone	80	0.0936398649119041	PM
community	1	Erythromycin	0.15	Benzbromarone	160	0.00733113002951612	PM
community	1	Erythromycin	0.15	Benzbromarone	320	0.00390204142754126	PM
community	1	Erythromycin	0.15	Benzbromarone	640	0.00308445555946587	PM
community	1	Erythromycin	0	Benzbromarone	0	1.03216758989125	PM
community	1	Erythromycin	0	Benzbromarone	10	0.886252678051863	PM
community	1	Erythromycin	0	Benzbromarone	20	0.669971370623987	PM
community	1	Erythromycin	0	Benzbromarone	40	0.402488699967552	PM
community	1	Erythromycin	0	Benzbromarone	80	0.0749584910171137	PM
community	1	Erythromycin	0	Benzbromarone	160	0.00342899008381928	PM
community	1	Erythromycin	0	Benzbromarone	320	0.00508445633084242	PM
community	1	Erythromycin	0	Benzbromarone	640	0.00283774979278352	PM
community	1	Erythromycin	3.15	Tolfenamic Acid	0	0.0117231114224901	PM
community	1	Erythromycin	3.15	Tolfenamic Acid	10	0.0138416283476801	PM
community	1	Erythromycin	3.15	Tolfenamic Acid	20	0.016101505248401	PM
community	1	Erythromycin	3.15	Tolfenamic Acid	40	0.0151128091043356	PM
community	1	Erythromycin	3.15	Tolfenamic Acid	80	0.012288002201513	PM
community	1	Erythromycin	3.15	Tolfenamic Acid	160	0.00593221046356698	PM
community	1	Erythromycin	3.15	Tolfenamic Acid	320	0.00155366536924568	PM
community	1	Erythromycin	3.15	Tolfenamic Acid	640	0.0137003188844188	PM
community	1	Erythromycin	2.65	Tolfenamic Acid	0	0.0115818298931164	PM
community	1	Erythromycin	2.65	Tolfenamic Acid	10	0.012146759895218	PM
community	1	Erythromycin	2.65	Tolfenamic Acid	20	0.0110168606679361	PM
community	1	Erythromycin	2.65	Tolfenamic Acid	40	0.0158190206358109	PM
community	1	Erythromycin	2.65	Tolfenamic Acid	80	0.00861570223784143	PM
community	1	Erythromycin	2.65	Tolfenamic Acid	160	0.00663834917278922	PM
community	1	Erythromycin	2.65	Tolfenamic Acid	320	0	PM
community	1	Erythromycin	2.65	Tolfenamic Acid	640	0.0163836368532831	PM
community	1	Erythromycin	2.15	Tolfenamic Acid	0	0.00384742657298498	PM
community	1	Erythromycin	2.15	Tolfenamic Acid	10	0.0151128483274143	PM
