species_name	Pathobiont/Pathogen/Disease-associated	NT_code
Hathewaya histolytica	TRUE	
Helicobacter pylori	TRUE	
Holdemanella biformis	FALSE	
Holdemania filiformis	FALSE	
Hungatella hathewayi	TRUE	
Inquilinus limosus	TRUE	
Intestinibacter bartlettii	FALSE	
Klebsiella aerogenes	FALSE	
Klebsiella oxytoca	TRUE	
Klebsiella pneumoniae	TRUE	
Klebsiella sp.	TRUE	
Kluyvera georgiana	TRUE	
Kluyvera intermedia	TRUE	
Kocuria rhizophila	FALSE	
Lachnoanaerobaculum saburreum	FALSE	
Lactobacillus acidophilus	FALSE	
Lactobacillus brevis	FALSE	
Lactobacillus casei	FALSE	
Lactobacillus fermentum	FALSE	
Lactobacillus jensenii	FALSE	
Lactobacillus plantarum	FALSE	
Lactobacillus reuteri	FALSE	
Lactobacillus rhamnosus	FALSE	
Lactobacillus salivarius	TRUE	
Lactobacillus sp.	FALSE	
Lactococcus lactis	FALSE	
Legionella pneumophila	TRUE	
Lelliottia amnigena	TRUE	
Leptospira interrogans	TRUE	
Leptospira kirschneri	TRUE	
Leptospira weilii	TRUE	
Listeria grayi	TRUE	
Listeria innocua	TRUE	
Listeria ivanovii	TRUE	
Listeria monocytogenes	TRUE	
Listeria seeligeri	FALSE	
Listeria welshimeri	FALSE	
Lysinibacillus sphaericus	FALSE	
Macrococcus caseolyticus	FALSE	
Mannheimia haemolytica	TRUE	
Micrococcus flavus	FALSE	
Micrococcus luteus	FALSE	
Mogibacterium timidum	FALSE	
Moraxella bovis	TRUE	
Moraxella catarrhalis	TRUE	
Morganella morganii	TRUE	
Mycobacterium avium	TRUE	
Mycobacterium avium complex sp.	TRUE	
Mycobacterium intracellulare	TRUE	
Mycobacterium kansasii	TRUE	
Mycobacterium malmoense	TRUE	
Mycobacterium marinum	TRUE	
Mycobacterium simiae	TRUE	
Mycobacterium tuberculosis	TRUE	
Mycobacterium ulcerans	TRUE	
Mycobacterium xenopi	TRUE	
Mycobacteroides abscessus	TRUE	
Mycobacteroides chelonae	TRUE	
Mycolicibacter terrae	TRUE	
Mycolicibacterium alvei	FALSE	
Mycolicibacterium aurum	TRUE	
Mycolicibacterium fortuitum	TRUE	
Mycolicibacterium mageritense	FALSE	
Mycolicibacterium mucogenicum	TRUE	
Mycolicibacterium peregrinum	TRUE	
Mycolicibacterium phlei	FALSE	
Mycolicibacterium porcinum	TRUE	
Mycolicibacterium septicum	TRUE	
Mycolicibacterium smegmatis	TRUE	
Mycolicibacterium vaccae	FALSE	
Mycolicibacterium wolinskyi	TRUE	
Mycoplasma fermentans	TRUE	
Mycoplasma gallisepticum	TRUE	
Mycoplasma genitalium	TRUE	
Mycoplasma hominis	TRUE	
Mycoplasma pneumoniae	TRUE	
Mycoplasma putrefaciens	TRUE	
Neisseria gonorrhoeae	TRUE	
Neisseria meningitidis	TRUE	
Neisseria perflava	FALSE	
Nocardia abscessus	TRUE	
Nocardia asteroides	TRUE	
Nocardia beijingensis	TRUE	
Nocardia brasiliensis	TRUE	
Nocardia carnea	TRUE	
Nocardia cyriacigeorgica	TRUE	
Nocardia farcinica	TRUE	
Nocardia nova	TRUE	
Nocardia otitidiscaviarum	TRUE	
Nocardia sp.	TRUE	
Nocardia transvalensis	TRUE	
Nocardia veterana	TRUE	
Paeniclostridium sordellii	TRUE	
Parabacteroides goldsteinii	FALSE	
Parachlamydia acanthamoebae	TRUE	
Paraclostridium bifermentans	TRUE	
Parvimonas micra	TRUE	
Pasteurella multocida	TRUE	
Pasteurella sp.	TRUE	
Pectobacterium atrosepticum	FALSE	
Peptoniphilus asaccharolyticus	TRUE	
Peptoniphilus harei	TRUE	
Peptoniphilus indolicus	TRUE	
Peptoniphilus lacrimalis	TRUE	
Peptostreptococcus anaerobius	TRUE	
Peptostreptococcus sp.	TRUE	
Peptostreptococcus stomatis	TRUE	
Plesiomonas shigelloides	TRUE	
Pluralibacter gergoviae	TRUE	
Porphyromonas asaccharolytica	TRUE	
Porphyromonas circumdentaria	TRUE	
Porphyromonas gingivalis	TRUE	
Porphyromonas levii	FALSE	
Porphyromonas macacae	FALSE	
Porphyromonas somerae	TRUE	
Porphyromonas uenonis	TRUE	
Prevotella baroniae	TRUE	
Prevotella bergensis	TRUE	
Prevotella bivia	TRUE	
Prevotella buccae	TRUE	
Prevotella corporis	FALSE	
Prevotella denticola	TRUE	
Prevotella disiens	TRUE	
Prevotella intermedia	TRUE	
Prevotella loescheii	TRUE	
Prevotella melaninogenica	TRUE	
Prevotella nanceiensis	FALSE	
Prevotella nigrescens	TRUE	
Prevotella oralis	TRUE	
